C3,CZ,C4
31.917374,51.230423,82.29267
31.880434,51.170982,82.19703
31.8342,51.096222,82.076385
31.754879,50.968174,81.86998
31.632336,50.77086,81.55241
31.473053,50.514904,81.14097
31.296734,50.23203,80.6867
31.128237,49.962044,80.25349
30.988056,49.737663,79.893684
30.885044,49.57285,79.629486
30.813864,49.458862,79.44664
30.75788,49.36891,79.30206
30.696022,49.269245,79.14159
30.610844,49.132015,78.92064
30.494698,48.945152,78.62003
30.351883,48.715702,78.25124
30.19622,48.465923,77.85009
30.045311,48.22401,77.461815
29.913788,48.01333,77.12382
29.808182,47.844196,76.85251
29.725128,47.71108,76.63887
29.653357,47.595837,76.45371
29.578432,47.475334,76.25991
29.48828,47.330303,76.02661
29.377401,47.15204,75.73997
29.248337,46.944725,75.4068
29.110052,46.722797,75.05035
28.97413,46.504814,74.70038
28.850319,46.306347,74.38184
28.743174,46.13461,74.10621
28.650879,45.9866,73.8686
28.566523,45.851196,73.651085
28.481087,45.71394,73.43048
28.386904,45.562576,73.18716
28.280285,45.39127,72.911804
28.162405,45.20196,72.60762
28.038363,45.00286,72.2878
27.914902,44.804783,71.96971
27.797825,44.617,71.66821
27.690052,44.44415,71.39068
27.590942,44.285152,71.135376
27.497,44.134384,70.8932
27.403475,43.984226,70.65197
27.306208,43.82803,70.40099
27.202982,43.662262,70.13463
27.093971,43.487232,69.853424
26.981293,43.30635,69.56285
26.867947,43.12444,69.270645
26.756655,42.945843,68.9838
26.649017,42.77313,68.70642
26.545244,42.606606,68.43898
26.444403,42.444782,68.17907
26.344995,42.285244,67.92282
26.245546,42.12563,67.666435
26.145002,41.964233,67.40718
26.042841,41.800236,67.143715
25.938988,41.633507,66.87586
25.83366,41.464405,66.6042
25.72726,41.293602,66.329796
25.620377,41.12203,66.05419
25.513775,40.95094,65.77939
25.408367,40.7818,65.50773
25.305012,40.615967,65.24142
25.204205,40.454224,64.98167
25.10578,40.29628,64.728004
25.008764,40.14057,64.47788
24.911568,39.98452,64.22718
24.81244,39.82534,63.971413
24.710138,39.661057,63.707443
24.604473,39.4914,63.43487
24.496563,39.31819,63.15663
24.388548,39.144867,62.87826
24.282892,38.97537,62.606083
24.181458,38.812656,62.34482
24.08472,38.65746,62.0956
23.991468,38.5078,61.85522
23.899132,38.359554,61.617046
23.804684,38.207863,61.37329
23.70577,38.048992,61.11799
23.60167,37.881824,60.849384
23.493662,37.708443,60.570854
23.384628,37.53348,60.289856
23.278028,37.362484,60.015285
23.176594,37.19979,59.754066
23.081236,37.04683,59.508457
22.990654,36.90147,59.274998
22.901741,36.758717,59.045647
22.810728,36.61253,58.810734
22.714607,36.458134,58.5626
22.612309,36.293835,58.298588
22.505135,36.12178,58.022182
22.39633,35.94719,57.741776
22.289871,35.776417,57.467567
22.188951,35.61456,57.20771
22.094767,35.46349,56.965145
22.00603,35.3211,56.736458
21.919426,35.182056,56.513077
21.830873,35.039825,56.284504
21.737055,34.889114,56.042294
21.636692,34.727924,55.783268
21.531036,34.5583,55.510765
21.423403,34.38558,55.233364
21.317913,34.216362,54.961647
21.217934,34.056015,54.7042
21.124794,33.906624,54.46434
21.037302,33.766235,54.238873
20.952185,33.62958,54.019337
20.86535,33.49011,53.79521
20.77344,33.34247,53.557926
20.675083,33.1845,53.304085
20.57142,33.018074,53.036713
20.465631,32.84831,52.764046
20.361723,32.681618,52.496387
20.263004,32.52329,52.24218
20.17085,32.375477,52.004845
20.084198,32.236435,51.781548
19.999985,32.10124,51.564358
19.914333,31.963678,51.3433
19.824022,31.818611,51.11017
19.72769,31.663897,50.861557
19.626318,31.50115,50.60009
19.522823,31.33506,50.33333
19.42092,31.17158,50.070816
19.323708,31.015656,49.82046
19.232521,30.869387,49.585598
19.14646,30.731293,49.36382
19.062773,30.596949,49.148
18.97794,30.460709,48.929077
18.889,30.317856,48.699516
18.79466,30.166353,48.456074
18.695744,30.007545,48.200943
18.594812,29.845568,47.940773
18.495184,29.685728,47.684093
18.399647,29.53248,47.438026
18.309446,29.387781,47.205677
18.223848,29.250427,46.98508
18.140469,29.116583,46.770073
18.056223,28.9813,46.5527
17.968494,28.840406,46.326298
17.8761,28.692034,46.087894
17.77969,28.537256,45.839237
17.681456,28.379597,45.586002
17.584244,28.223625,45.33553
17.490494,28.073229,45.09402
17.40132,27.930164,44.86429
17.316145,27.79349,44.64478
17.232979,27.659992,44.430332
17.149206,27.52548,44.21421
17.062582,27.386372,43.990692
16.97206,27.241016,43.757145
16.878138,27.090235,43.514915
16.782616,26.93693,43.26867
16.687876,26.784912,43.02453
16.595968,26.63746,42.787746
16.507868,26.49611,42.560753
16.42315,26.360159,42.3424
16.340195,26.227003,42.128506
16.256857,26.093204,41.91354
16.171276,25.955784,41.69274
16.082548,25.81332,41.463856
15.991039,25.666416,41.22786
15.898178,25.517374,40.98846
15.805886,25.369278,40.750607
15.715845,25.224806,40.518593
15.628876,25.085262,40.294487
15.544679,24.950146,40.077473
15.461997,24.81743,39.86429
15.379122,24.684381,39.65054
15.294554,24.548601,39.432392
15.207544,24.408907,39.207962
15.118338,24.265703,38.97791
15.0280285,24.120754,38.745083
14.938117,23.976467,38.513344
14.849931,23.834963,38.286083
14.764147,23.697311,38.065006
14.680572,23.563187,37.849583
14.598261,23.431072,37.637367
14.515912,23.298874,37.424995
14.432356,23.16473,37.209484
14.346989,23.027678,36.98931
14.259957,22.887972,36.76488
14.172063,22.746897,36.538277
14.084429,22.60626,36.312386
13.998069,22.467674,36.089806
13.913518,22.331993,35.871887
13.830672,22.199038,35.658337
13.74886,22.06772,35.447403
13.667125,21.936516,35.236633
13.584596,21.80403,35.023796
13.500801,21.669512,34.807697
13.415811,21.533085,34.588543
13.330178,21.39564,34.367764
13.244703,21.25846,34.147423
13.160124,21.122725,33.92941
13.076851,20.989086,33.714767
12.994845,20.857473,33.50337
12.913661,20.727169,33.294064
12.83264,20.597116,33.08515
12.751165,20.46633,32.875053
12.668881,20.334242,32.662865
12.585801,20.200886,32.448647
12.5022745,20.06682,32.233295
12.418833,19.932898,32.018177
12.335979,19.799925,31.804598
12.254019,19.668385,31.593319
12.172956,19.538286,31.384348
12.092532,19.409203,31.177004
12.012329,19.280468,30.970213
11.931941,19.151432,30.762934
11.851115,19.02169,30.55452
11.769822,18.891203,30.344913
11.6882515,18.760277,30.134604
11.606717,18.629412,29.924397
11.525533,18.499113,29.715103
11.444908,18.369715,29.50726
11.364886,18.24128,29.300959
11.285344,18.113613,29.09589
11.2060585,17.986353,28.891474
11.126792,17.859123,28.6871
11.047378,17.731653,28.48234
10.967761,17.603859,28.277061
10.888007,17.475847,28.071434
10.808261,17.347849,27.86583
10.728687,17.220133,27.660679
10.649419,17.092903,27.456316
10.570518,16.966267,27.2529
10.491965,16.840189,27.050385
10.413688,16.714552,26.848574
10.335579,16.589182,26.647194
10.25754,16.463923,26.445988
10.179502,16.338665,26.244783
10.101439,16.21337,26.043518
10.023373,16.088064,25.842241
9.9453535,15.962837,25.641088
